28,2018,12,29,05,20,郝蕾好敢说,14274,250000000,28000
29,2018,12,29,05,20,分手要不要删联系方式,13781,110000000,30000
30,2018,12,29,05,20,年末joy,12669,25726000,3571
31,2018,12,29,05,20,闯红灯抓拍不带美颜 ,11581,7601000,1153
32,2018,12,29,05,20,老iG五人全部退役,11567,60322000,1739
33,2018,12,29,05,20,将夜第二季换人了,11360,22051000,1132
34,2018,12,29,05,20,胖了只能穿卫衣 ,11213,160000000,27000
35,2018,12,29,05,20,曼娘上线,10902,32413000,2138
36,2018,12,29,05,20,金敏喜,10898,260000000,71000
37,2018,12,29,05,20,异地恋会甜吗,10847,59094000,13000
38,2018,12,29,05,20,霍尊 北京一夜,10763,7050000,7287
39,2018,12,29,05,20,2018全球最帅100面孔 ,10685,110000000,42000
40,2018,12,29,05,20,发语音会很烦吗,10683,96735000,29000
41,2018,12,29,05,20,吉林爆炸,9941,70178000,2121
42,2018,12,29,05,20,got7翻跟头,9881,28391000,8498
43,2018,12,29,05,20,2018你得到甜甜的恋爱了吗 ,9871,84525000,19000
44,2018,12,29,05,20,不发朋友圈被辞退,9763,170000000,22000
45,2018,12,29,05,20,微博之夜投票,9617,150000000,314000
46,2018,12,29,05,20,李大辉追星成功,9491,33788000,7291
47,2018,12,29,05,20,权健投票现场翻车,9328,64825000,39000
48,2018,12,29,05,20,2018全球最美100面孔,8914,83298000,20000
49,2018,12,29,05,20,EXO NCT,8834,10179000,3923
50,2018,12,29,05,20,武汉593公交已致1死7伤,7453,75967000,3009
1,2018,12,29,05,30,刘德华现场中止演唱会 ,93616,220000000,45000
2,2018,12,29,05,30,皇后的品格 全程高能,54052,43108000,4576
3,2018,12,29,05,30,小龙虾开门红,51424,35510000,2240
4,2018,12,29,05,30,办完婚礼就捐份子钱,42111,23975000,1322
5,2018,12,29,05,30,原生之罪 真香,41995,24956000,2945
6,2018,12,29,05,30,有些人别p的太过分 ,41893,130000000,15000
7,2018,12,29,05,30,讨厌的网络用语,38074,45103000,9207
8,2018,12,29,05,30,刘德华哭着道歉,33691,48198000,5812
9,2018,12,29,05,30,周子瑜太撩了,33517,130000000,14000
10,2018,12,29,05,30,手机触摸屏让孩子更聪明,32915,76738000,4900
11,2018,12,29,05,30,权健患癌女童主治医生,32722,73190000,5153
12,2018,12,29,05,30,宋运辉求婚,32714,80444000,6497
13,2018,12,29,05,30,十年后见到初恋,27056,77664000,18000
14,2018,12,29,05,30,藤田淑子去世 ,22599,30141000,3300
15,2018,12,29,05,30,鞠婧祎 红衣 ,22079,67900000,14000
16,2018,12,29,05,30,你找不到男朋友的原因 ,18741,83360000,35000
17,2018,12,29,05,30,郭艾伦被隔扣,17407,34062000,664
18,2018,12,29,05,30,吴谨言 四川话,17404,6600000,882
19,2018,12,29,05,30,胖子也可以拥有尖下巴,17399,45716000,5915
20,2018,12,29,05,30,杨幂西装,17398,150000000,20000
21,2018,12,29,05,30,美国猴子实验 新型艾滋病疫苗,17392,5445000,889
22,2018,12,29,05,30,恋爱4个月胖50斤 ,17387,150000000,26000
23,2018,12,29,05,30,来电狂响,17386,9692000,23000
24,2018,12,29,05,30,广东人对冬天的尊重,17148,130000000,13000
25,2018,12,29,05,30,沈月胖了,16093,260000000,44000
26,2018,12,29,05,30,知否,15656,980000000,237000
